,Date,High,Low,Open,Close,Volume,Adj Close,daily_return
0,2020-01-02,94.90049743652344,93.2074966430664,93.75,94.90049743652344,80580000,94.90049743652344,
1,2020-01-03,94.30999755859376,93.2249984741211,93.2249984741211,93.74849700927734,75288000,93.74849700927734,-0.012139034655920922
2,2020-01-06,95.18450164794922,93.0,93.0,95.1439971923828,81236000,95.1439971923828,0.01488557393050649
3,2020-01-07,95.69450378417967,94.60199737548828,95.2249984741211,95.34300231933594,80898000,95.34300231933594,0.0020916204156395946
4,2020-01-08,95.5500030517578,94.3219985961914,94.9020004272461,94.59850311279295,70160000,94.59850311279295,-0.007808640261289468
5,2020-01-09,95.89099884033205,94.79000091552734,95.49449920654295,95.05249786376952,63346000,95.05249786376952,0.0047991747864684076
6,2020-01-10,95.34700012207033,94.0,95.26850128173828,94.15799713134766,57074000,94.15799713134766,-0.009410596802031157
7,2020-01-13,94.9000015258789,94.04000091552734,94.56549835205078,94.56500244140624,55616000,94.56500244140624,0.00432257824569926
8,2020-01-14,94.35549926757812,92.92749786376952,94.29399871826172,93.47200012207033,68818000,93.47200012207033,-0.01155821171805238
9,2020-01-15,93.94300079345705,92.75450134277344,93.6125030517578,93.10099792480467,57932000,93.10099792480467,-0.003969126548925228
10,2020-01-16,94.27950286865234,93.3010025024414,94.14949798583984,93.89700317382812,53190000,93.89700317382812,0.00854991102959346
11,2020-01-17,94.33200073242188,92.8625030517578,94.29450225830078,93.23600006103516,79946000,93.23600006103516,-0.00703966144232826
12,2020-01-21,94.7135009765625,93.0,93.25,94.5999984741211,74156000,94.5999984741211,0.014629525206926841
13,2020-01-22,95.125,94.16699981689452,94.80449676513672,94.3730010986328,64326000,94.3730010986328,-0.0023995494624705627
14,2020-01-23,94.4990005493164,93.63800048828124,94.25550079345705,94.22899627685548,49692000,94.22899627685548,-0.0015259112256779117
15,2020-01-24,94.74949645996094,92.37200164794922,94.56849670410156,93.08200073242188,75324000,93.08200073242188,-0.012172426638861866
16,2020-01-27,92.0500030517578,90.76699829101562,91.0,91.41699981689452,70570000,91.41699981689452,-0.01788746376771222
17,2020-01-28,92.90550231933594,91.5009994506836,92.0250015258789,92.6624984741211,56160000,92.6624984741211,0.01362436592451366
18,2020-01-29,93.7375030517578,92.7509994506836,93.1999969482422,92.9000015258789,41760000,92.9000015258789,0.0025630978623367717
19,2020-01-30,93.64350128173828,92.53050231933594,92.9000015258789,93.53399658203124,126548000,93.53399658203124,0.006824489189870775
20,2020-01-31,102.78600311279295,100.1135025024414,102.57350158691406,100.43599700927734,311346000,100.43599700927734,0.07379135586484753
21,2020-02-03,102.4250030517578,100.0124969482422,100.52999877929688,100.20999908447266,117834000,100.20999908447266,-0.0022501685803328897
22,2020-02-04,102.98999786376952,100.76850128173828,101.49400329589844,102.4834976196289,105786000,102.4834976196289,0.022687342140775613
23,2020-02-05,103.5510025024414,101.5999984741211,103.5510025024414,101.99349975585938,87524000,101.99349975585938,-0.004781236737139594
24,2020-02-06,102.81500244140624,101.23999786376952,102.0510025024414,102.5114974975586,63660000,102.5114974975586,0.0050787328892443195
